Liga,Inning,Mitad Del Inning,Evento,Outs Antes De Jugada,Corredores Inicio De Jugada,Carreras Antes De Jugada,Carreras Anotadas En Jugada,Outs En Juego,Outs Despues De Jugada,Corredores Despues De Jugada,Carreras Despues De Jugada,Carreras Final Inning
SNB60,7,top,"L. Mateo  recibe Base por Bolas. A. Sevilla  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,0
SNB60,7,top,L. Gonzalez  es Out de fly.,1,12-,0,0,1,2,12-,0,0
SNB60,7,top,C. Prieto  recibe Base por Bolas Intencional.,2,-23,0,0,0,2,123,0,0
SNB60,7,top,P. Gonzalez  es Out de rolling 53.,2,123,0,0,1,3,123,0,0
SNB60,7,bottom,D. Gomez  es Out de rolling 53.,0,---,0,0,1,1,---,0,1
SNB60,7,bottom,Y. Mendoza  batea Doble de linea al jardin derecho.,1,---,0,0,0,1,-2-,0,1
SNB60,7,bottom,F. Cepeda  recibe Base por Bolas.,1,-2-,0,0,0,1,12-,0,1
SNB60,7,bottom,"G. Cepeda  batea Sencillo de linea al jardin derecho. F. Cepeda  avanza a Tercera Base, Y. Mendoza  anota, ",1,12-,0,1,0,1,1-3,1,1
SNB60,7,bottom,D. Palacio  es Out de fly al jardin central.,1,1-3,1,0,1,2,1-3,1,1
SNB60,7,bottom,E. Martinez  recibe Base por Bolas Intencional.,2,-23,1,0,0,2,123,1,1
SNB60,7,bottom,Y. Ibarra  es Out de fly.,2,123,1,0,1,3,123,1,1
SNB60,8,top,Y. Ibanez  es Out de fly.,0,---,0,0,1,1,---,0,0
SNB60,8,top,P. Quesada  es Out de rolling 63.,1,---,0,0,1,2,---,0,0
SNB60,8,top,F. Rodriguez  es Out de fly al jardin derecho.,2,---,0,0,1,3,---,0,0
SNB60,8,bottom,L. Fernandez  batea Sencillo de linea al jardin central.,0,---,0,0,0,0,1--,0,1
SNB60,8,bottom,"R. Moreno  es Out de rolling 63. L. Fernandez  avanza a Segunda Base, ",0,1--,0,0,1,1,-2-,0,1
SNB60,8,bottom,"D. Gomez  batea Doble de linea al jardin izquierdo. L. Fernandez  anota, ",1,-2-,0,1,0,1,-2-,1,1
SNB60,1,top,Y. Borroto  es Out de linea al jardin izquierdo.,0,---,0,0,1,1,---,0,0
SNB60,1,top,H. Morales  es Out de rolling 3.,1,---,0,0,1,2,---,0,0
SNB60,1,top,R. Gonzalez  recibe Base por Bolas.,2,---,0,0,0,2,1--,0,0
SNB60,1,top,"O. Vazquez  batea Sencillo de rolling . R. Gonzalez  avanza a Segunda Base, ",2,1--,0,0,0,2,12-,0,0
SNB60,1,top,"Y. Fiss  se embasa por FCH de rolling 64. O. Vazquez  es Out, R. Gonzalez  avanza a Tercera Base, ",2,12-,0,0,1,3,1-3,0,0
SNB60,1,bottom,O. Gonzalez  se Poncha.,0,---,0,0,1,1,---,0,0
SNB60,1,bottom,R. Reyes  es Out de rolling 63.,1,---,0,0,1,2,---,0,0
SNB60,1,bottom,W. Pacheco  se Poncha.,2,---,0,0,1,3,---,0,0
SNB60,2,top,A. Civil  batea Sencillo de rolling al jardin derecho .,0,---,0,0,0,0,1--,0,2
SNB60,2,top,"Y. Gonzalez  batea Sencillo de rolling al jardin izquierdo . A. Civil  avanza a Segunda Base, ",0,1--,0,0,0,0,12-,0,2
SNB60,2,top,"R. Valdes  sacrificio de Hit de rolling 34. Y. Gonzalez  avanza a Segunda Base, A. Civil  avanza a Tercera Base, ",0,12-,0,0,1,1,-23,0,2
SNB60,2,top,A. Jimenez  conecta un Fly de sacrificio de fly al jardin central. A. Civil  anota,1,-23,0,1,1,2,-2-,1,2
SNB60,2,top,Y. Borroto  recibe Pelotazo.,2,-2-,1,0,0,2,12-,1,2
SNB60,2,top,"H. Morales  batea Sencillo de rolling al jardin izquierdo . Y. Borroto  avanza a Segunda Base, Y. Gonzalez  anota, ",2,12-,1,1,0,2,12-,2,2
SNB60,2,top,"R. Gonzalez  se embasa por FCH de rolling 65. H. Morales  avanza a Segunda Base, Y. Borroto  es Out, ",2,12-,2,0,1,3,12-,2,2
SNB60,2,bottom,Y. Vizcaino  es Out de fly al jardin central.,0,---,0,0,1,1,---,0,0
SNB60,2,bottom,Y. Perez  es Out de fly.,1,---,0,0,1,2,---,0,0
SNB60,2,bottom,M. Alonso  es Out de rolling 43.,2,---,0,0,1,3,---,0,0
SNB60,3,top,O. Vazquez  batea Sencillo de linea al jardin izquierdo.,0,---,0,0,0,0,1--,0,0
SNB60,3,top,Y. Fiss  es Out de fly al jardin derecho.,0,1--,0,0,1,1,1--,0,0
SNB60,3,top,"A. Civil  batea para Doble Play de rolling 6443. O. Vazquez  es Out, ",1,1--,0,0,2,3,---,0,0
SNB60,3,bottom,Y. La Rosa  se Poncha.,0,---,0,0,1,1,---,0,0
SNB60,3,bottom,R. Portal  es Out de linea.,1,---,0,0,1,2,---,0,0
SNB60,3,bottom,M. Gomez  es Out de fly al jardin izquierdo.,2,---,0,0,1,3,---,0,0
SNB60,4,top,Y. Gonzalez  es Out de rolling 43.,0,---,0,0,1,1,---,0,0
SNB60,4,top,R. Valdes  es Out de rolling 53.,1,---,0,0,1,2,---,0,0
SNB60,4,top,A. Jimenez  es Out de rolling 31.,2,---,0,0,1,3,---,0,0
SNB60,4,bottom,O. Gonzalez  es Out de rolling 3.,0,---,0,0,1,1,---,0,0
SNB60,4,bottom,R. Reyes  batea Doble de linea al jardin central.,1,---,0,0,0,1,-2-,0,0
SNB60,4,bottom,W. Pacheco  es Out de rolling 3.,1,-2-,0,0,1,2,-2-,0,0
SNB60,4,bottom,Y. Vizcaino  es Out de fly.,2,-2-,0,0,1,3,-2-,0,0
SNB60,5,top,Y. Borroto  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,0
SNB60,5,top,H. Morales  es Out de fly al jardin izquierdo.,1,---,0,0,1,2,---,0,0
SNB60,5,top,R. Gonzalez  batea Sencillo de linea al jardin central.,2,---,0,0,0,2,1--,0,0
SNB60,5,top,O. Vazquez  es Out de fly al jardin izquierdo.,2,1--,0,0,1,3,1--,0,0
SNB60,5,bottom,Y. Perez  es Out de fly al jardin central.,0,---,0,0,1,1,---,0,0
SNB60,5,bottom,M. Alonso  se Poncha.,1,---,0,0,1,2,---,0,0
SNB60,5,bottom,Y. La Rosa  batea Sencillo de rolling al jardin izquierdo .,2,---,0,0,0,2,1--,0,0
SNB60,5,bottom,"R. Portal  batea Sencillo de linea al jardin derecho. Y. La Rosa  avanza a Segunda Base, ",2,1--,0,0,0,2,12-,0,0
SNB60,5,bottom,M. Gomez  es Out de fly al jardin izquierdo.,2,12-,0,0,1,3,12-,0,0
SNB60,6,top,Y. Fiss  se Poncha.,0,---,0,0,1,1,---,0,0
SNB60,6,top,A. Civil  es Out de fly al jardin izquierdo.,1,---,0,0,1,2,---,0,0
SNB60,6,top,Y. Gonzalez  recibe Base por Bolas.,2,---,0,0,0,2,1--,0,0
SNB60,6,top,"R. Valdes  es Out de rolling 63. Y. Gonzalez  avanza a Segunda Base, ",2,1--,0,0,1,3,-2-,0,0
SNB60,6,bottom,O. Gonzalez  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,0
SNB60,6,bottom,"R. Reyes  se Poncha. O. Gonzalez  es Out cogido robando, ",0,1--,0,0,2,2,---,0,0
